Name,Date,N_DAY_MAX_GRT_N-1_DAY_MAX,N_DAY_MIN_LT_N-1_DAY_MIN,N_09:00_To_09:30_Max_Minus_09:00_Open,N_09:00_To_09:30_Min_Minus_09:00_Open,N_09:00_To_13:45_Max_Minus_09:00_Open,N_09:00_To_13:45_Max_Minus_N-1_Close,N_09:00_To_13:45_Min_Minus_09:00_Open,N_09:00_To_13:45_Min_Minus_N-1_Close,N_09:00_To_15:00_Max_Minus_09:00_Open,N_09:00_To_15:00_Min_Minus_09:00_Open,N_09:30_MAX_MINUS_N-1_09:00_Open,N_09:30_MAX_MINUS_N-1_EOD_CLOSE,N_09:30_Min_MINUS_N-1_09:00_Open,N_09:30_Min_MINUS_N-1_EOD_CLOSE,N_09:30_To_13:45_Max_Minus_N_09:30_Open,N_09:30_To_13:45_Min_Minus_N_09:30_Open,N_09:30_To_15:00_Max_Minus_N_09:30_Open,N_09:30_To_15:00_Min_Minus_N_09:30_Open,N-1_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-1_09:00_To_09:30_Max_Minus_N-2_09:00_Open,N-1_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-1_09:00_To_09:30_Min_Minus_N-2_09:00_Open,N-1_09:30_Open_Minus_N-1_EOD_Close,N-1_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-1_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-1_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-1_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-1_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-1_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-1_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-1_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-1_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-1_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-1_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-1_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-1_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-1_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-1_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-1_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-1_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-1_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-1_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-1_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-1_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-1_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-1_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-1_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-1_15:30_To_EOD_MAX_MINUS_N_09:00_OPEN,N-1_15:30_To_EOD_MIN_MINUS_N_09:00_OPEN,N-1_Close_Minus_N_09:00_To_09:30_Max,N-1_Close_Minus_N_09:00_To_09:30_Min_,N-1_Close_Minus_N_09:00_To_15:00_Max,N-1_Close_Minus_N_09:00_To_15:00_Min_,N-1_EOD_Close_Minus_N-1_09:00_Open,N-2_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-2_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-2_09:30_Open_Minus_N-2_EOD_Close,N-2_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-2_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-2_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-2_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-2_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-2_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-2_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-2_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-2_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-2_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-2_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-2_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-2_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-2_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-2_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-2_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-2_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-2_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-2_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-2_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-2_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-2_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-2_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-2_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-2_15:30_To_EOD_MAX_MINUS_N-1_09:00_OPEN,N-2_15:30_To_EOD_MIN_MINUS_N-1_09:00_OPEN,N-2_EOD_Close_Minus_N-2_09:00_Open
ACC,20190311,1,0,PZ,NZ,P,P,NZ,NZ,P,NZ,PP,PZ,Z,Z,P,NZ,P,NZ,PZ,PZ,NZ,NZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,Z,PZ,NZ,PZ,Z,PZ,Z,PZ,Z,P,Z,PZ,Z,P,NZ,P,PZ,NZ,Z,P,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,P,Z,PZ,NZ,Z,NZ,Z,NZ,PZ,NZ,Z,Z,Z
ACC,20190312,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,PP,NZ,Z,P,PZ,NZ,PZ,Z,PZ,Z,Z,NZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,Z,PZ,NZ,P,Z,P,Z,Z,NN,Z,NN,P,PZ,NZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,Z,PZ,NZ,PZ,Z,PZ,Z,PZ,Z,Z,Z,P
ADANIPORTS,20190311,1,0,P,NZ,PP,PP,NZ,Z,PP,NZ,P,P,Z,Z,P,NZ,P,NZ,PZ,P,NZ,Z,Z,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,Z,Z,NZ,PZ,NZ,PZ,Z,PZ,Z,PZ,Z,PZ,NZ,P,Z,PP,Z,Z,PZ,NZ,N,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,Z,PZ,NZ,Z,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,Z,PZ,NZ,Z,Z,Z
ADANIPORTS,20190312,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,P,P,NZ,Z,P,PZ,NZ,PZ,Z,PZ,Z,Z,NZ,PZ,Z,PZ,NZ,Z,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,Z,PZ,Z,PP,Z,Z,NN,Z,NN,PP,PZ,NZ,Z,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,Z,Z,NZ,PZ,NZ,PZ,Z,PZ,Z,PZ,Z,Z,NZ,Z
AMBUJACEM,20190311,1,0,PZ,NZ,PP,PP,NZ,Z,PP,NZ,PP,P,Z,Z,P,NZ,PP,NZ,P,PZ,Z,NZ,P,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,Z,PZ,Z,PZ,Z,PZ,Z,PZ,NZ,PZ,Z,PZ,Z,P,Z,PP,NZ,P,Z,PP,Z,PP,PZ,NZ,Z,P,Z,PZ,Z,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,PZ,Z,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,Z,Z
AMBUJACEM,20190312,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,PP,NZ,Z,PP,PZ,NZ,PZ,Z,PZ,Z,PZ,Z,PZ,NZ,PZ,Z,Z,NZ,Z,Z,Z,NZ,PZ,Z,PZ,NZ,P,Z,PP,Z,Z,NN,Z,NN,PP,P,Z,N,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,Z,PZ,Z,PZ,Z,PZ,Z,PZ,NZ,PZ,Z,PZ,Z,P,Z,Z,NZ,PP
ARVIND,20190311,0,0,P,Z,PP,PP,NZ,Z,PP,NZ,Z,PP,NN,Z,PP,NZ,PP,NZ,PZ,PP,NN,NZ,NN,PZ,NN,PZ,NN,PZ,N,PZ,N,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,N,Z,N,P,NZ,Z,NZ,PP,Z,PP,Z,NN,PZ,NZ,NN,PZ,N,PZ,NZ,P,NZ,PP,Z,PZ,N,PZ,NZ,PZ,N,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PP
ARVIND,20190312,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,P,Z,Z,NN,PP,P,NZ,P,Z,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PP,Z,Z,NN,Z,NN,PP,PZ,NN,PP,PZ,NN,PZ,NN,PZ,N,PZ,N,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,N,Z,N,P,NZ,Z,NZ,NN
ASHOKLEY,20190311,1,0,P,NZ,P,PP,NZ,Z,P,NZ,P,PP,NZ,Z,PZ,NZ,PZ,NZ,PZ,PZ,NZ,NZ,Z,PZ,NZ,PZ,NZ,Z,NZ,PZ,Z,PZ,NZ,P,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,Z,PZ,NZ,Z,N,PP,Z,PP,Z,N,PZ,N,N,PZ,NZ,PP,Z,PZ,Z,PZ,Z,PZ,NZ,Z,NZ,Z,NZ,PZ,NZ,PZ,NZ,Z,NZ,Z,NZ,PZ,NZ,PZ,Z,Z
ASHOKLEY,20190312,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,P,P,NZ,NZ,P,PZ,NZ,PZ,Z,Z,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,P,Z,PP,Z,Z,NN,Z,NN,PP,PZ,NZ,Z,PZ,NZ,PZ,NZ,Z,NZ,PZ,Z,PZ,NZ,P,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,Z,PZ,NZ,Z,N,N
ASIANPAINT,20190311,1,0,PZ,NZ,P,PP,NZ,Z,PP,NZ,PZ,PZ,NZ,Z,P,Z,PP,Z,Z,Z,NZ,N,Z,PZ,Z,PZ,Z,PZ,NZ,PZ,Z,Z,NZ,Z,Z,Z,NZ,PZ,NZ,PZ,Z,Z,Z,PZ,Z,Z,NZ,Z,NZ,PZ,Z,PP,Z,Z,PZ,Z,Z,PZ,NZ,Z,NZ,PZ,NZ,Z,Z,Z,NZ,Z,Z,Z,NZ,Z,Z,Z,Z,Z,Z,Z,NZ,PZ,NZ,PZ,Z,Z
