Name,Date,N_DAY_MAX_GRT_N-1_DAY_MAX,N_DAY_MIN_LT_N-1_DAY_MIN,N_09:00_To_09:30_Max_Minus_09:00_Open,N_09:00_To_09:30_Min_Minus_09:00_Open,N_09:00_To_13:45_Max_Minus_09:00_Open,N_09:00_To_13:45_Max_Minus_N-1_Close,N_09:00_To_13:45_Min_Minus_09:00_Open,N_09:00_To_13:45_Min_Minus_N-1_Close,N_09:00_To_15:00_Max_Minus_09:00_Open,N_09:00_To_15:00_Min_Minus_09:00_Open,N_09:30_MAX_MINUS_N-1_09:00_Open,N_09:30_MAX_MINUS_N-1_EOD_CLOSE,N_09:30_Min_MINUS_N-1_09:00_Open,N_09:30_Min_MINUS_N-1_EOD_CLOSE,N_09:30_To_13:45_Max_Minus_N_09:30_Open,N_09:30_To_13:45_Min_Minus_N_09:30_Open,N_09:30_To_15:00_Max_Minus_N_09:30_Open,N_09:30_To_15:00_Min_Minus_N_09:30_Open,N-1_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-1_09:00_To_09:30_Max_Minus_N-2_09:00_Open,N-1_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-1_09:00_To_09:30_Min_Minus_N-2_09:00_Open,N-1_09:30_Open_Minus_N-1_EOD_Close,N-1_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-1_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-1_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-1_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-1_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-1_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-1_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-1_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-1_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-1_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-1_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-1_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-1_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-1_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-1_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-1_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-1_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-1_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-1_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-1_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-1_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-1_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-1_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-1_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-1_15:30_To_EOD_MAX_MINUS_N_09:00_OPEN,N-1_15:30_To_EOD_MIN_MINUS_N_09:00_OPEN,N-1_Close_Minus_N_09:00_To_09:30_Max,N-1_Close_Minus_N_09:00_To_09:30_Min_,N-1_Close_Minus_N_09:00_To_15:00_Max,N-1_Close_Minus_N_09:00_To_15:00_Min_,N-1_EOD_Close_Minus_N-1_09:00_Open,N-2_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-2_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-2_09:30_Open_Minus_N-2_EOD_Close,N-2_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-2_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-2_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-2_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-2_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-2_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-2_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-2_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-2_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-2_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-2_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-2_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-2_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-2_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-2_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-2_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-2_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-2_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-2_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-2_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-2_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-2_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-2_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-2_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-2_15:30_To_EOD_MAX_MINUS_N-1_09:00_OPEN,N-2_15:30_To_EOD_MIN_MINUS_N-1_09:00_OPEN,N-2_EOD_Close_Minus_N-2_09:00_Open
ACC,20190313,0,1,PZ,NZ,PZ,PZ,N,N,PZ,N,Z,Z,N,NZ,PZ,N,PZ,N,PZ,PP,NZ,Z,Z,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,Z,NZ,PZ,NZ,PZ,NZ,Z,NZ,Z,Z,Z,NZ,PZ,N,N,PZ,NZ,N,PZ,NZ,PZ,Z,PZ,Z,Z,NZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,Z,PZ,NZ,P,Z,Z,NZ,P
ACC,20190314,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,Z,NZ,N,N,PZ,NZ,Z,N,PZ,Z,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,Z,Z,Z,NN,Z,NN,N,PZ,NZ,Z,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,Z,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,Z,N
ADANIENT,20190313,0,0,Z,NN,P,P,NN,NN,P,NN,PP,Z,Z,NN,P,N,P,N,PZ,PP,NZ,Z,PP,PZ,NZ,PZ,NZ,PZ,NZ,P,NZ,P,NZ,PZ,NZ,PZ,NZ,P,NZ,PP,Z,PZ,Z,P,NZ,PZ,N,PP,NZ,Z,NN,P,NN,PP,P,NZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,P,NZ,PZ,NZ,Z,NZ,PZ,Z,PZ,NZ,Z,N,PZ,NZ,PZ,NZ,Z,NZ,Z,N,Z
ADANIENT,20190314,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,Z,PP,NN,Z,Z,P,Z,Z,N,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,Z,NZ,P,Z,PZ,NZ,Z,Z,Z,NN,Z,NN,Z,PZ,NZ,NN,PZ,NZ,PZ,NZ,PZ,NZ,P,NZ,P,NZ,PZ,NZ,PZ,NZ,P,NZ,PP,Z,PZ,Z,P,NZ,PZ,N,Z,NZ,PP
ADANIPORTS,20190313,1,0,PZ,N,P,P,N,NZ,P,N,PP,PZ,Z,NZ,P,NZ,P,NZ,PP,PP,Z,Z,P,PZ,N,PZ,NZ,PZ,NZ,P,Z,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PP,NZ,PZ,NZ,P,NZ,PP,P,NZ,N,PZ,NZ,PZ,Z,PZ,Z,Z,NZ,PZ,Z,PZ,NZ,Z,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,Z,PZ,Z,Z,Z,PP
ADANIPORTS,20190314,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,PP,N,Z,P,P,NZ,Z,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,PZ,Z,PZ,NZ,Z,NZ,PZ,NZ,P,Z,P,Z,Z,NN,Z,NN,P,PP,Z,N,PZ,N,PZ,NZ,PZ,NZ,P,Z,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,Z,NZ,PP
AMBUJACEM,20190313,0,1,PZ,NZ,PZ,P,N,N,PZ,N,PZ,PZ,NZ,NZ,PZ,N,PZ,N,PZ,PP,NZ,Z,Z,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,P,N,Z,PZ,NZ,NN,PZ,NZ,PZ,Z,PZ,Z,PZ,Z,PZ,NZ,PZ,Z,Z,NZ,Z,Z,Z,NZ,PZ,Z,PZ,NZ,P,Z,Z,NZ,PP
AMBUJACEM,20190314,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,PZ,NZ,NZ,N,PZ,NZ,Z,N,PZ,Z,Z,NZ,Z,NZ,Z,NZ,PZ,NZ,Z,NZ,PZ,Z,Z,NZ,Z,NZ,Z,NZ,Z,Z,Z,NN,Z,NN,N,PZ,NZ,Z,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,Z,NZ,Z
ARVIND,20190313,0,0,PZ,NN,PZ,PZ,NN,NN,PZ,NN,PP,PZ,Z,NN,P,N,P,N,PZ,PP,NZ,Z,PP,Z,NZ,Z,N,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PP,Z,PP,NZ,P,NZ,PP,Z,PZ,NN,PZ,NN,PP,P,Z,NN,P,NZ,P,Z,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,Z,N,PP
ARVIND,20190314,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,PP,NN,Z,Z,P,Z,Z,N,P,NZ,PZ,NZ,PZ,NZ,Z,N,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,P,NZ,P,NZ,Z,Z,Z,NN,Z,NN,N,PZ,NZ,NN,Z,NZ,Z,N,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PP,Z,PP,NZ,P,NZ,Z,Z,PP
ASHOKLEY,20190313,0,1,PZ,N,PZ,PZ,N,N,PZ,N,Z,PZ,NN,N,PZ,N,PZ,N,PZ,PP,Z,Z,N,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,Z,N,Z,NZ,PZ,N,PZ,N,N,P,NZ,N,PZ,NZ,PZ,Z,Z,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,P,Z,Z,N,PP
ASHOKLEY,20190314,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,Z,N,NN,Z,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,P,NZ,P,Z,Z,NN,Z,NN,Z,PZ,Z,P,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,Z,N,Z,NZ,N
ASIANPAINT,20190313,0,1,Z,N,Z,PZ,N,NZ,Z,N,P,PZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,PP,Z,Z,Z,PZ,Z,PZ,Z,Z,NZ,Z,NZ,Z,NZ,Z,NZ,Z,NZ,Z,NZ,Z,NZ,Z,Z,Z,Z,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,Z,PZ,NZ,NN,PZ,Z,PZ,NZ,PZ,Z,Z,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,Z,PZ,NZ,P,Z,PZ,NZ,PZ,NZ,Z,Z,PP
ASIANPAINT,20190314,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,Z,P,N,Z,Z,PZ,NZ,PZ,Z,Z,NZ,Z,NZ,Z,NZ,Z,NZ,Z,Z,Z,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,Z,Z,Z,Z,NN,Z,NN,Z,PZ,Z,Z,PZ,Z,PZ,Z,Z,NZ,Z,NZ,Z,NZ,Z,NZ,Z,NZ,Z,NZ,Z,NZ,Z,Z,Z,Z,Z,NZ,Z,NZ,Z
AUROPHARMA,20190313,0,0,PZ,NN,PZ,P,NN,NN,PZ,NN,PP,PZ,NZ,NN,P,N,P,N,Z,PP,N,Z,PP,PZ,NZ,PP,NZ,PP,Z,P,Z,Z,NZ,Z,NZ,PZ,NZ,Z,NZ,Z,NZ,PZ,NZ,PZ,Z,Z,NZ,PP,NZ,PZ,NN,P,NN,PP,P,NZ,Z,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,Z,NZ,Z,NZ,PZ,NZ,PZ,Z,Z,NZ,PZ,NZ,PZ,Z,PZ,NZ,Z,NZ,P
AUROPHARMA,20190314,1,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,PP,NN,NZ,N,P,Z,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,Z,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,Z,Z,N,PZ,NZ,Z,Z,Z,NN,Z,NN,N,Z,N,NN,PZ,NZ,PP,NZ,PP,Z,P,Z,Z,NZ,Z,NZ,PZ,NZ,Z,NZ,Z,NZ,PZ,NZ,PZ,Z,Z,NZ,Z,NZ,PP
AXISBANK,20190313,1,1,PZ,NZ,PZ,P,NZ,NZ,PZ,NZ,PZ,PZ,Z,NZ,P,NZ,P,NZ,PZ,P,Z,Z,Z,PZ,NZ,PZ,Z,PZ,Z,Z,NZ,PZ,NZ,Z,NZ,Z,NZ,Z,NZ,Z,NZ,PZ,Z,Z,Z,Z,NZ,PZ,NZ,PZ,NZ,P,NZ,Z,P,NZ,P,Z,NZ,PZ,Z,Z,NZ,PZ,Z,Z,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,Z,NZ,PZ,NZ,PZ,NZ,Z,NZ,Z
