Name,Date,N-1_Date,N-2_DATE,N_09:30_MAX_MINUS_N-1_09:00_Open,N_09:30_Min_MINUS_N-1_09:00_Open,N-1_Close_Minus_N_09:00_To_09:30_Max,N-1_Close_Minus_N_09:00_To_09:30_Min_,N-1_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-1_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-1_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-1_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-1_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-1_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-1_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-1_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-1_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-1_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-1_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-1_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-1_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-1_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-1_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-1_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-1_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-1_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-1_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-1_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-1_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-1_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-1_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-1_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-1_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-1_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-1_09:30_Open_Minus_N-1_EOD_Close,N_09:30_MAX_MINUS_N-1_EOD_CLOSE,N_09:30_Min_MINUS_N-1_EOD_CLOSE,N-1_15:30_To_EOD_MAX_MINUS_N_09:00_OPEN,N-1_15:30_To_EOD_MIN_MINUS_N_09:00_OPEN,N-1_09:00_To_09:30_Max_Minus_N-2_09:00_Open,N-1_09:00_To_09:30_Min_Minus_N-2_09:00_Open,N-1_EOD_Close_Minus_N-1_09:00_Open,N-2_EOD_Close_Minus_N-2_09:00_Open,N-2_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-2_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-2_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-2_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-2_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-2_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-2_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-2_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-2_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-2_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-2_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-2_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-2_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-2_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-2_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-2_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-2_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-2_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-2_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-2_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-2_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-2_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-2_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-2_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-2_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-2_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-2_09:30_Open_Minus_N-2_EOD_Close,N-2_15:30_To_EOD_MAX_MINUS_N-1_09:00_OPEN,N-2_15:30_To_EOD_MIN_MINUS_N-1_09:00_OPEN,N_09:00_To_13:45_Max_Minus_N-1_Close,N_09:00_To_13:45_Min_Minus_N-1_Close,N-1_Close_Minus_N_09:00_To_15:00_Max,N-1_Close_Minus_N_09:00_To_15:00_Min_,N_09:00_To_09:30_Max_Minus_09:00_Open,N_09:00_To_09:30_Min_Minus_09:00_Open,N_09:00_To_13:45_Max_Minus_09:00_Open,N_09:00_To_13:45_Min_Minus_09:00_Open,N_09:00_To_15:00_Max_Minus_09:00_Open,N_09:00_To_15:00_Min_Minus_09:00_Open,N_09:30_To_13:45_Max_Minus_N_09:30_Open,N_09:30_To_13:45_Min_Minus_N_09:30_Open,N_09:30_To_15:00_Max_Minus_N_09:30_Open,N_09:30_To_15:00_Min_Minus_N_09:30_Open,N_DAY_MAX_GRT_N-1_DAY_MAX,N_DAY_MIN_LT_N-1_DAY_MIN
ACC,20190314,20190313,20190312,-0.255,-1.329,0.908,-0.153,0.26,-0.553,0.496,-0.368,-0.154,-1.01,0.617,0.032,0.076,-0.636,0.152,-0.127,0.197,-0.201,0.111,-0.316,0.26,-0.118,0.63,-0.077,0.118,-0.191,0.416,-0.121,0.193,-0.338,-1.403,0.908,-0.153,-1.129,-0.352,-1.161,-1.986,-1.174,-1.259,0.303,-0.876,0.255,-0.2,0.558,0.019,0.329,-0.221,0.698,-0.137,0.738,-0.227,0.031,-0.292,0.137,-0.14,0.003,-0.34,0.072,-0.69,0.252,-0.103,0.24,-0.345,0.094,-0.554,0.578,0.163,0.022,0.908,-2.281,0.908,-2.371,0.555,-0.51,0.555,-2.646,0.555,-2.736,0.044,-2.47,0.044,-2.56,0,1
ACC,20190315,20190314,20190313,-157600,-157600,-153830,-153830,0.555,-0.51,0.044,-1.153,-0.022,-1.014,0.664,-0.162,0.019,-0.455,0.032,-0.482,0.087,-0.419,0.23,-0.075,0.152,-0.4,0.436,0.081,0.129,-0.049,-0.032,-0.879,0.292,-0.111,-2.274,-153830,-153830,-2.449,97.546,-0.255,-1.329,-2.449,-1.174,0.26,-0.553,0.496,-0.368,-0.154,-1.01,0.617,0.032,0.076,-0.636,0.152,-0.127,0.197,-0.201,0.111,-0.316,0.26,-0.118,0.63,-0.077,0.118,-0.191,0.416,-0.121,0.193,-0.338,1.384,-0.312,-0.356,-153830,-153830,-153830,-153830,0,0,0,0,0,0,0,0,0,0,0,1
ADANIENT,20190314,20190313,20190312,0.202,-0.61,0.908,0.102,0.034,-2.063,1.596,-0.034,-0.169,-1.469,0.974,-0.443,0.101,-0.475,0.135,-0.408,0.237,-0.409,0.407,-0.445,0.441,-0.205,0.442,0,0.068,-0.273,1.18,0,0.708,-0.443,-0.441,0.908,0.102,-0.678,-0.303,5.389,3.404,-0.713,5.357,0.461,-0.286,0.775,-0.178,0.841,-0.212,0.628,-0.246,1.649,-0.105,1.132,-0.558,0.45,-0.139,0.449,-0.139,1.697,-0.104,2.067,-0.068,0.805,0.034,1.327,-0.168,0.167,-1.356,-5.323,0,-0.474,1.24,-2.611,1.24,-2.611,0.605,-0.203,0.938,-2.925,0.938,-2.925,0.972,-2.89,0.972,-2.89,0,1
ADANIENT,20190315,20190314,20190313,-14680,-14680,-14455,-14455,0.605,-0.203,0.972,-0.853,-0.068,-1.976,1.16,0.103,0.206,-0.379,0.103,-0.729,0.138,-0.905,0.585,0,0.207,-0.486,0.379,-0.312,0.309,-0.104,0.65,-0.519,0.205,-0.9,-1.512,-14455,-14455,-1.546,97.192,0.202,-0.61,-1.546,-0.713,0.034,-2.063,1.596,-0.034,-0.169,-1.469,0.974,-0.443,0.101,-0.475,0.135,-0.408,0.237,-0.409,0.407,-0.445,0.441,-0.205,0.442,0,0.068,-0.273,1.18,0,0.708,-0.443,0.439,-0.271,-0.305,-14455,-14455,-14455,-14455,0,0,0,0,0,0,0,0,0,0,0,1
ADANIPORTS,20190314,20190313,20190312,1.74,0.386,0.19,-1.185,0.303,-1.02,1.204,-0.264,-0.11,-0.87,0.437,-0.247,0.272,-0.205,0.014,-0.494,0.192,-0.399,0.041,-0.482,0.342,-0.082,0.395,-0.247,0.014,-0.481,0.41,-0.124,1.029,-0.096,1.648,0.19,-1.185,1.552,-0.581,3.02,1.733,1.552,2.617,2.116,0,0.238,-1.091,0.393,-0.183,0.336,-0.409,1.906,0.028,0.945,-0.041,0.151,-0.638,0.249,-0.403,0.318,-0.362,0.262,-0.25,0.29,-0.014,0.124,-0.249,0.262,-0.681,-1.22,-0.111,-0.111,0.19,-1.929,0.555,-1.929,0,-1.378,0,-2.124,0.366,-2.124,0.341,-1.333,1.138,-1.333,0,0
ADANIPORTS,20190315,20190314,20190313,-36685,-36685,-36500,-36500,0,-1.378,0.341,-0.593,0.11,-0.875,0.618,-0.069,0.179,-0.248,0.371,-0.124,0.082,-0.359,0.179,-0.096,0.055,-0.29,0.873,0.055,0.177,-0.398,0.88,-0.343,0.272,-0.247,0.273,-36500,-36500,-0.314,99.225,1.74,0.386,-0.505,1.552,0.303,-1.02,1.204,-0.264,-0.11,-0.87,0.437,-0.247,0.272,-0.205,0.014,-0.494,0.192,-0.399,0.041,-0.482,0.342,-0.082,0.395,-0.247,0.014,-0.481,0.41,-0.124,1.029,-0.096,-1.675,-0.191,-0.574,-36500,-36500,-36500,-36500,0,0,0,0,0,0,0,0,0,0,0,1
AMBUJACEM,20190314,20190313,20190312,-0.3,-2.613,1.352,-0.922,0.214,-0.603,0.615,-0.214,-0.171,-1.101,0.621,-0.065,0.043,-0.692,0.065,-0.26,0.086,-0.173,0.13,-0.26,-0.022,-0.478,0.346,-0.022,0.065,-0.304,0.043,-0.261,0,-0.875,-1.893,1.352,-0.922,-1.675,-0.086,0.107,-0.71,-1.675,-0.322,0.637,-0.279,0.256,-0.473,0.489,0.064,0.276,-0.278,0.466,-0.128,0.738,-0.149,0.085,-0.341,0.106,-0.321,0.064,-0.364,0.192,-0.321,0.043,-0.235,0.277,-0.257,0.107,-0.624,0.299,-0.214,-0.214,1.352,-2.75,1.352,-2.75,1.266,-1.01,1.266,-2.839,1.266,-2.839,0.066,-2.079,0.066,-2.079,0,1
AMBUJACEM,20190315,20190314,20190313,-22900,-22900,-22315,-22315,1.266,-1.01,0.066,-0.75,-0.066,-1.024,0.617,-0.133,0.242,-0.265,-0.11,-0.823,0.111,-0.29,0.421,-0.111,0.133,-0.559,0.244,-0.134,0.487,-0.067,0.044,-0.669,0.156,-0.38,-1.851,-22315,-22315,-2.61,97.022,-0.3,-2.613,-2.61,-1.675,0.214,-0.603,0.615,-0.214,-0.171,-1.101,0.621,-0.065,0.043,-0.692,0.065,-0.26,0.086,-0.173,0.13,-0.26,-0.022,-0.478,0.346,-0.022,0.065,-0.304,0.043,-0.261,0,-0.875,1.858,-0.087,-0.087,-22315,-22315,-22315,-22315,0,0,0,0,0,0,0,0,0,0,0,1
ARVIND,20190314,20190313,20190312,-0.43,-2.132,0.86,-0.82,0.373,-2.637,1.079,0,-0.054,-1.213,1.505,-0.494,0.701,-0.601,0.326,-0.219,-0.055,-1.493,0.602,-0.276,0.329,-0.11,0.109,-0.44,0.219,-0.607,1.407,-0.11,1.022,-0.492,0.542,0.86,-0.82,-1.137,-0.107,5.813,2.967,-1.302,5.41,0.731,-0.627,-0.227,-0.974,-0.115,-1.628,0.345,-0.173,0.687,-0.289,0.286,-0.634,0.23,-0.289,0.173,-0.231,0.172,-0.173,0.172,-0.231,5.742,-0.058,3.287,-0.941,1.066,-0.108,-5.899,-0.054,-0.054,4.456,-0.986,4.456,-0.986,0.753,-0.929,4.352,-1.095,4.352,-1.095,4.663,-0.767,4.663,-0.767,1,0
ARVIND,20190315,20190314,20190313,-9130,-9130,-9365,-9365,0.753,-0.929,1.075,-0.546,0.216,-1.369,1.809,0.378,3.42,-0.485,0.052,-2.883,0.212,-0.694,0.791,0,0.474,-0.425,0.733,-0.158,0.832,-0.421,0,-0.789,0.052,-1.275,2.8,-9365,-9365,2.534,101.463,-0.43,-2.132,2.483,-1.302,0.373,-2.637,1.079,0,-0.054,-1.213,1.505,-0.494,0.701,-0.601,0.326,-0.219,-0.055,-1.493,0.602,-0.276,0.329,-0.11,0.109,-0.44,0.219,-0.607,1.407,-0.11,1.022,-0.492,-0.545,0.054,-0.108,-9365,-9365,-9365,-9365,0,0,0,0,0,0,0,0,0,0,0,1
