Name,Date,N_DAY_MAX_GRT_N-1_DAY_MAX,N_Day_Max_Lt_N-1_Close,N_Day_Min_Grt_N-1_Close,N_DAY_MIN_LT_N-1_DAY_MIN,N_09:00_To_09:30_Max_Minus_09:00_Open,N_09:00_To_09:30_Min_Minus_09:00_Open,N_09:00_To_13:45_Max_Minus_09:00_Open,N_09:00_To_13:45_Max_Minus_N-1_Close,N_09:00_To_13:45_Min_Minus_09:00_Open,N_09:00_To_13:45_Min_Minus_N-1_Close,N_09:00_To_15:00_Max_Minus_09:00_Open,N_09:00_To_15:00_Min_Minus_09:00_Open,N_09:30_MAX_MINUS_N-1_09:00_Open,N_09:30_MAX_MINUS_N-1_EOD_CLOSE,N_09:30_Min_MINUS_N-1_09:00_Open,N_09:30_Min_MINUS_N-1_EOD_CLOSE,N_09:30_To_13:45_Max_Minus_N_09:30_Open,N_09:30_To_13:45_Min_Minus_N_09:30_Open,N_09:30_To_15:00_Max_Minus_N_09:30_Open,N_09:30_To_15:00_Min_Minus_N_09:30_Open,N-1_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-1_09:00_To_09:30_Max_Minus_N-2_09:00_Open,N-1_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-1_09:00_To_09:30_Min_Minus_N-2_09:00_Open,N-1_09:30_Open_Minus_N-1_EOD_Close,N-1_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-1_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-1_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-1_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-1_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-1_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-1_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-1_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-1_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-1_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-1_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-1_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-1_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-1_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-1_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-1_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-1_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-1_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-1_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-1_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-1_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-1_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-1_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-1_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-1_15:30_To_EOD_MAX_MINUS_N_09:00_OPEN,N-1_15:30_To_EOD_MIN_MINUS_N_09:00_OPEN,N-1_Close_Minus_N_09:00_To_09:30_Max,N-1_Close_Minus_N_09:00_To_09:30_Min_,N-1_Close_Minus_N_09:00_To_15:00_Max,N-1_Close_Minus_N_09:00_To_15:00_Min_,N-1_EOD_Close_Minus_N-1_09:00_Open,N-2_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-2_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-2_09:30_Open_Minus_N-2_EOD_Close,N-2_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-2_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-2_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-2_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-2_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-2_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-2_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-2_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-2_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-2_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-2_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-2_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-2_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-2_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-2_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-2_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-2_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-2_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-2_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-2_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-2_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-2_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-2_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-2_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-2_15:30_To_EOD_MAX_MINUS_N-1_09:00_OPEN,N-2_15:30_To_EOD_MIN_MINUS_N-1_09:00_OPEN,N-2_EOD_Close_Minus_N-2_09:00_Open,0,1
ACC,20190327,1,0,0,0,PZ,NZ,P,PP,NZ,NZ,P,NZ,PZ,P,NZ,Z,P,N,P,N,PZ,P,NZ,Z,Z,Z,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,Z,NZ,PZ,Z,PZ,Z,PZ,NZ,Z,NZ,P,Z,PP,NZ,Z,PZ,Z,Z,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,Z,NZ,Z,Z,Z,NZ,PZ,Z,P,Z,PZ,NZ,Z,NZ,PZ,Z,Z,NZ,Z,1,2
ACC,20190328,1,1,0,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,PZ,NZ,NZ,P,P,Z,PZ,Z,PZ,NZ,Z,N,Z,N,PZ,NZ,PZ,Z,PZ,NZ,Z,N,PZ,NZ,PZ,Z,PZ,NZ,P,Z,Z,NN,Z,NN,P,PZ,NZ,Z,Z,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,Z,NZ,PZ,Z,PZ,Z,PZ,NZ,Z,NZ,Z,2,3
ADANIENT,20190328,1,1,0,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,PP,NZ,Z,N,P,NZ,Z,NZ,PZ,NZ,Z,NZ,Z,N,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,N,P,NZ,PZ,NZ,Z,Z,Z,NN,Z,NN,Z,PZ,NZ,NN,PZ,NZ,PZ,NZ,PZ,NZ,P,Z,PZ,NZ,P,NZ,PZ,NZ,P,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,N,Z,NZ,PP,3,4
ADANIPORTS,20190327,1,0,0,0,PZ,Z,PZ,PZ,NZ,NZ,PZ,N,PP,PZ,Z,Z,PZ,N,PZ,N,P,PP,Z,Z,Z,Z,NZ,PZ,Z,Z,NZ,PZ,Z,Z,NZ,PZ,Z,PZ,Z,PZ,NZ,PZ,NZ,PZ,Z,PZ,Z,PZ,Z,PP,Z,PZ,Z,PZ,N,P,PZ,N,Z,P,Z,Z,N,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,Z,Z,NZ,PZ,Z,PZ,NZ,PZ,Z,PZ,Z,Z,Z,Z,4,5
ADANIPORTS,20190328,1,1,0,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,PP,Z,Z,N,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,Z,N,PZ,NZ,PZ,Z,Z,NZ,Z,Z,Z,NN,Z,NN,Z,P,Z,Z,Z,NZ,PZ,Z,Z,NZ,PZ,Z,Z,NZ,PZ,Z,PZ,Z,PZ,NZ,PZ,NZ,PZ,Z,PZ,Z,PZ,Z,Z,Z,P,5,6
AMBUJACEM,20190327,1,0,0,0,P,NZ,PP,PP,NZ,Z,PP,NZ,P,P,Z,Z,P,N,P,N,PZ,P,N,NZ,Z,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,P,Z,PP,NZ,Z,Z,NZ,Z,PZ,NZ,PZ,Z,PZ,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,P,Z,PZ,NZ,PZ,NZ,Z,N,PZ,Z,Z,NZ,Z,6,7
AMBUJACEM,20190328,1,1,0,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,P,P,NZ,Z,N,P,Z,PZ,Z,Z,N,Z,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,Z,N,PZ,NZ,PZ,NZ,PZ,NZ,Z,Z,Z,NN,Z,NN,Z,PZ,N,Z,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,NZ,Z,NZ,Z,7,8
ARVIND,20190327,1,0,0,0,PZ,N,PZ,P,NN,NN,PZ,NN,PP,P,Z,NZ,Z,NN,Z,NN,P,PZ,NZ,N,PP,PZ,NZ,P,Z,P,Z,PZ,Z,P,NZ,PZ,NZ,P,NZ,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,PP,N,P,NZ,P,NN,PP,PZ,N,Z,PZ,NZ,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,Z,PZ,NZ,Z,NZ,PZ,Z,Z,N,PZ,NZ,PZ,Z,Z,NZ,N,8,9
ARVIND,20190328,1,1,0,1,Z,Z,Z,Z,Z,NN,Z,Z,Z,Z,NN,NN,Z,Z,Z,Z,PZ,PP,N,Z,N,Z,NZ,PZ,NZ,PZ,NZ,PZ,NZ,Z,N,PZ,NZ,PZ,N,P,NZ,PZ,N,PZ,NZ,Z,NZ,PZ,N,Z,Z,Z,NN,Z,NN,NN,P,NZ,NN,PZ,NZ,P,Z,P,Z,PZ,Z,P,NZ,PZ,NZ,P,NZ,PZ,NZ,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,N,PP,9,10
ASHOKLEY,20190327,0,0,0,1,P,NZ,P,P,N,N,P,N,Z,P,N,Z,PZ,NN,PZ,NN,PZ,Z,Z,N,N,PZ,NZ,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,Z,N,PZ,NZ,PZ,NZ,PZ,NZ,PZ,Z,PZ,NZ,PZ,Z,Z,NZ,P,Z,P,N,N,PZ,N,P,PZ,NZ,Z,NZ,PZ,NZ,Z,NZ,PZ,Z,PZ,NZ,Z,NZ,PZ,NZ,PZ,Z,Z,NZ,PZ,Z,PZ,NZ,Z,NZ,N,10,11
